Company_Name,Sector,Stage,Location,What_it_does,Funding_Amount($),Year,Investor,Redistributed_sector
Fleeca India,Tyre management,Series B,Jaipur,FLEECA is a Tyre Care Provider company.,3000000.0,2020,Bridgestone India,Others
M1xchange,FinTech,Series B,Gurgaon,M1 an online exchange for TReDS set up under the approval RBI to facilitate discounting of invoices on a PAN India basis.,4500000.0,2020,"BEENEXT, Mayfield Fund",Finance
Exotel,Cloud company,Series B,Bangalore,Exotel provides cloud telephony services such as virtual phone numbers and telephony applications for small and medium enterprises in India.,5000000.0,2020,"A91 Partners, Artha India Ventures",Others
PagarBook,Software company,Series A,Bangalore,"Staff's Salary, Work & Attendance Management Application",15000000.0,2020,"Sequoia Capital, India Quotient",Technology & IT
PointOne Capital,Venture capitalist,Series A,Bangalore,Pre-seed/Seed focussed VC investor,3000000.0,2020,Inflection Point Ventures,Others
Ayana,Renewable player,Series A,Bangalore,Ayana Renewable Power is an Indian renewable energy platform,390000000.0,2020,"NIIF Ltd, CDC Group",Others
Fisdom,FinTech,Series A,Bangalore,Fisdom is a fintech company that offers investment advisory services through an application.,7000000.0,2020,"PayU Finance India, Quona Capital",Finance
Tinker Coders,EdTech,Seed,Noida,Tinker Coder is a LIVE Online Platform through which kids will learn the art of coding,3000000.0,2020,STEMROBO Technologies,Education
Infinite Uptime,IoT startup,Series B,Pune,The industrial Internet platform that harnesses the power of big data & predictive analytics for data-driven decision making.,5100000.0,2020,"Infrastructure Leasing & Financial Services Limited, Dorm Room Fund",Technology & IT
HappyLocate,SaaS startup,Pre Series A,Bangalore,"HappyLocate is India's first One Stop Relocation Platform, transforming the way Employee Relocations are managed",500000.0,2020,The CoWrks Foundry,Technology & IT
PhonePe,FinTech,Pre Series A,New Delhi,PhonePe is a mobile payments application that allows the user to transfer money instantly.,700000000.0,2020,Flipkart,Finance
Loop Health,HealthTech,Seed,Pune,Loop Health is bringing ease and choice to patients seeking major medical treatments.,2300000.0,2020,"Y Combinator, Sierra Ventures",Health & Medical
NeoDocs,HealthTech,Pre-Seed,Mumbai,Neodocs analyses medical reports and provides personalised health recommendations remotely.,3000000.0,2020,9Unicorns Accelerator Fund,Health & Medical
The ePlane,Aero company,Seed,Chennai,Transforming the mobility landscape using aerial transport.,3000000.0,2020,Speciale Invest,Others
TagMango,Marketing company,Seed,Mumbai,"TagMango is a marketing and advertising app that helps influencer, and brands to partner with individuals.",700000.0,2020,"XRM Media, Kevin Lin",Media & Advertising
The New Shop,Retail startup,Seed,New Delhi,The New Shop is a chain of high speed retail stores,500000.0,2020,Huddle Accelerator,E-Commerce & Retail
MobiKwik,FinTech,Seed,Gurgaon,"MobiKwik is India’s leading fintech platform, operating businesses in consumer payments, payment gateway, and financial services.",7000000.0,2020,"Hindustan Media Venture, Nicolas Jarrosson",Finance
DebugsBunny,EdTech,Seed,Pune,DebugsBunny is the best Kids Coding Platform where kids are taught to code online by our expert teachers.,100000.0,2020,India Angel Fund,Education
BHIVE Investech,Co-working Startup,Seed,Bangalore,BHIVE is Bangalore's (India) largest Coworking space that allows entrepreneurs to take their ideas to the next level.,1000000.0,2020,Blume Ventures,Others
Rivigo,Logistics,Seed,Gurgaon,Rivigo is a technology-enabled logistics platform provider that offers transport services.,19000000.0,2020,"Elevation Capital, Trifecta Capital Advisors",Transport
ZipLoan,Finance company,Seed,New Delhi,ZipLoan is a online lending platform,3000000.0,2020,"Stride Ventures, Matrix Partners India",Finance
Swipez,FinTech,Seed,Pune,Swipez is a payment collection platform.,3000000.0,2020,"9Unicorns, Anicut",Finance
Humus,AgriTech,Seed,Bangalore,Farmgate to Retail outlet Agri-Fresh produce supply chain,3000000.0,2020,"Venture Catalysts, 9Unicorns, We Founders Circle.",Agriculture
Artivatic.ai,Tech company,Seed,Bangalore,"Artivatic's patent pending technology solves complex problems in Insurance for On-boarding, Fraud, Risk Profiling, Underwriting & claims.",3000000.0,2020,"SenseAI Ventures, Saurabh Chugh",Others
Prescinto,Solar Monitoring Company,Seed,Ahmedabad,Prescinto provides solutions for solar monitoring and analytics solutions.,3000000.0,2020,"Startup incubator, Accelerator Venture Catalysts",Energy & Environmental
Toppeq,SaaS startup,Seed,Mumbai,SaaS-based equity management platform,3000000.0,2020,Inflection Point Ventures,Technology & IT
Bolo Indya,Video sharing platform,Seed,Gurgaon,"Bolo Indya is a short video & commerce platform. It allows users to create, watch and share videos & discover and avail services.",400000.0,2020,"India Accelerator, Sunil Kamath",Others
Bombay Play,Gaming startup,Seed,Bangalore,Bombay Play is a Card and Toy Company Making games for India.,1000000.0,2020,"Ramakant Sharma, Leo Capital India",Sports & Fitness
FreshToHome,E-commerce,Seed,Bangalore,Freshtohome is an e-commerce platform for fresh and chemical-free seafood.,3000000.0,2020,Investment Corporation of Dubai (ICD),Others
KIKO TV,Video streaming platform,Seed,Mumbai,KIKO TV is an AI-based short live video e-commerce platform.,3000000.0,2020,"9Point8 Capital, Sunil Kumar Singhvi",Others
Atomberg Technologies,Consumer appliances,Series B,Mumbai,"Atomberg Technology aspires to be the ""Tesla"" of the world of household appliances",9000000.0,2020,"Sandeep Tandon, Survam Partners",Others
DealShare,E-commerce,Series C,Jaipur,DealShare is a Social Commerce Startup,21000000.0,2020,"Falcon Edge Capital, Omidyar Network",Others
Smallcase,FinTech,Series C,Bangalore,Changing how India invests in equities,3000000.0,2020,"WEH Ventures, BEENEXT",Finance
CueMath,EdTech,Series C,Bangalore,Cuemath is an engaging ‘learning-by-doing’ methodology for students with face-to-face sessions from highly-trained Cuemath teachers.,40000000.0,2020,"Sequoia Capital India, CapitalG",Education
Gamerji,Gaming startup,Seed,Ahmedabad,"Gamerji is an online esports gaming platform where tournaments are created for different games such as PUBG, COD, Free Fire etc.",3000000.0,2020,La Gajjar Group.,Sports & Fitness
5C Network,HealthTech,Pre Series A,Bangalore,"5C is India's first Diagnostics Network, making Radiodiagnosis more Accessible, Affordable and Accurate",1200000.0,2020,"Axilor Ventures, Unitus Ventures",Health & Medical
Ethereum Push Notification Service,Blockchain startup,Seed,Mumbai,EPNS is a decentralized notification protocol,750000.0,2020,Prolific angel investors,Technology & IT
Mihup,Conversational AI platform,Series A,Kolkata,Intelligence-based personal mobile assistant app,1500000.0,2020,"Ideaspring Capital, Accel",Technology & IT
RuralBasket,E-commerce,Series A,Tirunelveli,Naturally grown and healthy products directly from farmers.,500000.0,2020,Nativelead Foundation,Others
WayCool Foods,AgriTech,Debt,Chennai,"WayCool has adopted a tech-enabled supply chain approach to produce staples like rice, dairy, and value added products.",7800000.0,2020,"FMO, IndusInd Bank",Agriculture
Infra.Market,Real Estate,Series B,Thane,Hella Infra Market develops an online procurement marketplace intended to serve the real estate and construction materials industry.,20000000.0,2020,"Trifecta Capital Advisors, Nexus Venture Partners",Construction & Real Estate
Info Edge Venture,Venture capitalist,Series B,Noida,"Info Edge provides online recruitment, matrimonial and real estate classifieds, and related services.",50000000.0,2020,Lightbox,Others
Clovia,E-commerce,Pre Series C,Noida,Clovia is the online lingerie retailer,4000000.0,2020,"Golden Birch Investments, She Capital",Others
Codingal,EdTech,Seed,Bangalore,Coding education platform for K-12 students,560000.0,2020,"Pras Hanuma, Rebright Partners, Java Capital, and GSF Accelerator.",Education
CRED,Finance company,Series C,Bangalore,CRED is a members-only app that rewards the user with exclusive rewards for paying credit card bills.,80000000.0,2020,"General Catalyst, Ribbit Capital",Finance
Vistaar Finance,Finance company,Series C,Bangalore,The preferred full range Financial Services provider to the Small Business segment focused on rural and semi urban markets.,30000000.0,2020,FMO,Finance
Let's Dive,SaaS platform,Series C,Bangalore,A platform for remote employee engagement and building team culture,1700000.0,2020,Surge,Technology & IT
Habitat,EdTech,Seed,Bangalore,"Habitat, a social learning edtech platform for civil service aspirants",600000.0,2020,"Unitus Ventures, Whiteboard Capital",Education
SAWO Labs,SaaS platform,Seed,Mumbai,Providing Secure Authentication solutions to Apps and Websites. Eliminating Passwords and OTPs for a seamless User Experience.,600000.0,2020,"StartupXseed Ventures, 100X.VC",Technology & IT
Signzy,AI platform,Seed,Bangalore,Signzy are creating 'building blocks for a Digital Trust system.,3000000.0,2020,"Stellaris Venture Partners, Mastercard",Technology & IT
KopyKitab,EdTech,Seed,Bangalore,"Kopykitab is an India-based digital library that provides eBooks, and digital content in school and higher education.",3000000.0,2020,"Paula Mariwala, Siddharth Anand",Education
Kyt,EdTech,Seed,Singapore,Holistic education for every child | Individual and small group live classes for ages 5 - 15 years,2500000.0,2020,Sequoia Capital India’s Surge,Education
Raskik,Fusion beverages,Pre Series A,Bangalore,All new fusion-flavour fruit juices with the goodness of coconut and taste of India's finest fruits.,1000000.0,2020,"Venture Catalysts, 9Unicorns",Others
GetWork,HR Tech,Pre-Seed,Gurugram,GetWork is a campus recruiting platform to post your jobs and hire across dozens of colleges at once.,40000.0,2020,India Accelerator,Human Resources
Mobile Premier League (MPL),Gaming,Series B,Bangalore,Mobile Premier League is a skill-based eSports platform used to offer cash prizes while playing games.,500000.0,2020,"Pegasus Tech Ventures, Base Partners",Sports & Fitness
Pravasirojgar,Job portal,Series B,Bangalore,Initiative for blue-collar job workers,33000000.0,2020,GoodWorker.,Others
Omatra Hotels,Hospitality,Seed,Kolkata,Omatra is very new hotel management firm recently registered as Omatra Hospitality Services Private Limited.,3000000.0,2020,Capify,Health & Medical
Awign,Job portal,Pre Series B,Bangalore,Operations and manpower outsourcing startup,3000000.0,2020,"Unitus Ventures, Work10M",Others
NewsReach,Digital Media,Seed,Gujarat,NewsReach India offers partner publications a digital footprint and monetisation of their content via advertisements.,1500000.0,2020,"Mumbai Angels, JITO Angel Network.",Technology & IT
Cashfree,FinTech,Series B,Bangalore,Cashfree is a payments and banking technology company that enables businesses in India to collect payments online and make payouts.,35000000.0,2020,"George Osborne, Smilegate Investment",Finance
Credgenics,FinTech,Pre Series A,New Delhi,"Credgenics is a tech-enabled platform backed by Titan Capital, helping fintech lenders and Banks in their critical NPA reduction",3000000.0,2020,"Accel India, Breadlake Ventures",Finance
GeoIQ,AI startup,Seed,Bangalore,"Map-based intelligent platform with single-click access to street-level location data - demographics, competitions, movements - for retail.",300000.0,2020,"Ankur Mittal, Mitesh Shah",Technology & IT
Country Delight,Dairy startup,Series C,Haryana,Country Delight produces and distributes milk intended to provide good quality and unadulterated milk at doorstep.,25000000.0,2020,"IIFL Asset Management, Matrix Partners",Agriculture
Quintype,Content management,Series A,Bangalore,"A technology company that focus on building a suite of digital publishing solutions to simplify content creation, distribution, audience engagement",3500000.0,2020,IIFL AMC,Others
CARS24,Retail,Series E,Haryana,CARS24 is an India-based platform for selling used cars.,200000000.0,2020,"Global Car Group, Freemark holdings",E-Commerce & Retail
Astrogate Labs,Spacetech,Series E,Bangalore,Astrogate Labs provides high-quality products related to space infrastructure.,3000000.0,2020,"Venture Catalysts, Speciale Invest",Others
Power Gummies,HealthTech,Bridge,New Delhi,Power Gummies are a team of passionate givers who are dedicated to catering nutritional supplements,3000000.0,2020,Venture Catalysts,Health & Medical
Cityflo,Transportation,Series A,Mumbai,Cityflo is an urban transportation app that provides comfortable and economical buses for daily commute.,7000000.0,2020,"Anupam Mittal, India Quotient",Transport
AlgoBulls,Trading platform,Series A,Mumbai,Algobulls is a state-of-the-art Trading Platform where customers are provided with Fully Automated Algorithmic Trading,200000.0,2020,Venture Catalysts,Others
Credgenics,FinTech,Pre Series A,Gurugram,"Credgenics is a tech-enabled platform backed by Titan Capital, helping fintech lenders and Banks in their critical NPA reduction",3000000.0,2020,"Accel India, Breadlake Ventures",Finance
Inntot,Tech company,Pre Series A,Kerala,"Inntot Technologies, is a technology driven company.",3000000.0,2020,Unicorn India Ventures,Others
Ensuredit,FinTech,Pre Series A,Gurugram,ENSUREDIT enables and empowers end customers and Insurance Intermediaries with AI-based product platforms for transformational customer experience.,300000.0,2020,Venture Catalysts,Finance
Shipsy,AI Company,Series A,Gurugram,Shipsy's platform enables data driven decision making enhancing visibility and operational efficiency for Supply Chain industry,6000000.0,2020,"DTDC, Udaan Angel Partners",Technology & IT
ERPNext,Tech company,Series A,Mumbai,"ERPNext is an Open Source, Online ERP solution which includes Accounting, CRM, Inventory, Purchasing, HR, Support and a lot more.",1000000.0,2020,Rainmatter,Others
LightSpeedAI,Photonics startup,Series A,Bangalore,Developer of an optoelectronic processor designed to accelerate AI computations.,3000000.0,2020,"YourNest, growX ventures",Others
Grip Invest,FinTech,Pre Series A,Gurugram,Grip is an investment platform that allows retail investors to make small ticket investments in physical assets that earn lease income.,3000000.0,2020,Gemba Capital,Finance
Unacademy,EdTech,Pre Series A,Bangalore,Unacademy is an online learning platform providing educational content such as video lectures and examinations.,3000000.0,2020,"Dragoneer Investment Group, Tiger Global Management",Education
Yellow Classes,EdTech,Pre Series A,Gurugram,New-age fun-learning platform for kids.,1300000.0,2020,India Quotient,Education
Plum,HealthTech,Pre Series A,Bangalore,High quality health insurance and health benefits,4100000.0,2020,"Surge, Tanglin Venture Partners",Health & Medical
STAGE,Entertainment,Pre Series A,Indore,STAGE is an Indian language content platform for artist-led entertainment.,1000000.0,2020,Venture Catalysts,Others
Nykaa,Cosmetics,Pre Series A,Mumbai,Nykaa is an online marketplace for different beauty and wellness products.,3000000.0,2020,"Alia Bhatt, Katrina Kaif",Fashion & Beauty
Kaagaz Scanner,Scanning app,Pre Series A,Bangalore,Kaagaz Scanner is the Indian replacement to banned Cam Scanner App.,575000.0,2020,Pravega Ventures,Others
NIRA,FinTech,Pre Series A,Bangalore,"NIRA promotes financial inclusion by creating simple, transparent products that empower individuals to live a life of choice and freedom.",1000000.0,2020,"Techstars Bangalore Accelerator, Techstars",Finance
Prolixr,Skincare startup,Seed,Gurugram,A premium skincare brand committed towards building innovative skin care wellness.,3000000.0,2020,"Alfa Ventures, Divij Bajaj",Fashion & Beauty
Byju's,EdTech,Seed,Bangalore,BYJU'S is an educational technology company that develops personalized learning programs for K-12 students.,200000000.0,2020,"Owl Ventures, Tiger Global Management",Education
DaMENSCH,E-commerce,Seed,Bangalore,DaMENSCH is a designer and seller of men's apparel.,6000000.0,2020,"Whiteboard Capital, Matrix Partners India",Others
Country Delight,Food and Beverages,Series C,Haryana,Country Delight produces and distributes milk intended to provide good quality and unadulterated milk at doorstep.,25000000.0,2020,"Orios Venture Partners, Matrix Partners India",Food & Beverage
SignalX,AI startup,Seed,Hyderabad,SignalX offers an artificial intelligence-powered SaaS platform,800000.0,2020,"9Unicorns, 3Lines VC, Hyderabad Angels",Technology & IT
Lancify,EdTech,Seed,Bangalore,Lancify is building the world's strongest young workforce,300000.0,2020,"Techstars, Techstars Bangalore Accelerator",Education
Krimanshi,Biotechnology company,Seed,Jodhpur,Krimanshi aims to increase rural income by improving the productivity of Indian cattle with better quality feed.,600000.0,2020,"Rajasthan Venture Capital Fund, AIM Smart City",Health & Medical
Instoried,AI startup,Pre Series A,Bangalore,Instoried is an augmented writing platform which improves customer interest and engagement.,1000000.0,2020,"Venture Catalysts, SOSV",Technology & IT
PlayerzPot,Gaming startup,Series A,Mumbai,"Favorite fantasy cricket, football & kabaddi leagues online to win daily cash and prizes",3000000.0,2020,Inflection Point Ventures,Sports & Fitness
Instamojo,FinTech,Series A,Bangalore,"Instamojo is an on-demand payments platform that enables entrepreneurs to build, manage, and grow their business online.",3000000.0,2020,"BASE, Gunosy Capital",Finance
Turtlemint,HealthTech,Series A,Mumbai,Turtlemint has built Indian personalized insurance platform,30000000.0,2020,"Nexus Venture Partners, Dream Incubator",Health & Medical
Arata,E-commerce,Pre Series A,New Delhi,Arata is an e-commerce site for beauty products and cosmetics.,1000000.0,2020,DSG Consumer Partners,Others
MPL,Gaming startup,Pre Series A,Bangalore,Mobile Premier League is a skill-based eSports platform used to offer cash prizes while playing games.,5000000.0,2020,"Pegasus Tech Ventures, Base Partners",Sports & Fitness
True Balance,FinTech,Pre Series A,Gurugram,True Balance is a digital wallet that enables users to access utility bill payment and other financial products.,28000000.0,2020,"IBK Capital, SB Partners",Finance
Thrive,FoodTech,Pre Series A,Mumbai,"Thrive is all-in-one restaurant ordering suite for table ordering, pickup, and delivery with marketing in-built.",3000000.0,2020,"Whiteboard Capital, Ahimsa Capital",Food & Beverage
Kitchens Centre,Proptech,Pre Series A,New Delhi,Kitchens Centre offers turnkey solutions to cloud kitchens.,3000000.0,2020,"Jonathan Swanson, Ankush Gera",Others
Prescribe,HealthTech,Pre Series A,Chennai,Provide online services to patients by leveraging WhatsApp.,100000.0,2020,Titan Capital,Health & Medical
Nepra,CleanTech,Series C,Ahmedabad,NEPRA Resource Management provides waste management solutions in India.,18000000.0,2020,"Asha Impact, Aavishkaar Venture Capital",Energy & Environmental
inFeedo,SaaS startup,Series C,Gurugram,"inFeedo is a predictive people analytics company helping 300,000+ employees in 100+ companies make their voice feel heard and valued.",3200000.0,2020,"Peyush Bansal, Ritesh Malik",Technology & IT
Shilpa Sciences,HealthTech,Pre Series A,Bangalore,Shilps Sciences is a healthtech platform that claims to have solved gene editing by accelerating single gene cell applications.,3000000.0,2020,AngelList India,Health & Medical
Arzooo,Tech Startup,Pre Series A,Bangalore,"B2B retail tech platform transforming 300,000+ SMEs in electronics space with its flagship ""Go Store"" product",3000000.0,2020,"3Lines, Jabbar Internet Group",Others
MindTickle,SaaS platform,Debt,Pune,MindTickle offers the industry's most comprehensive sales readiness solution for closing knowledge and skill gaps in customer-facing teams.,100000000.0,2020,"Canaan Partners, NewView Capital",Technology & IT
Slice,FinTech,Debt,Bangalore,Slice is a card for first-time credit card users. They are inventing the future of finance for young Indians,5000000.0,2020,"Better Capital, Gunosy",Finance
Rapawalk,E-commerce,Seed,Bangalore,Rapawalk is an online brand that offers a personalized service of creating your own shoes.,300000.0,2020,"Sanjay Ramakrishnan, Ravi Garikipati",Others
Oga Fit's,Fitness startup,Pre Series A,Bangalore,The new-age home workout app that gives you an unmatched boutique digital fitness studio experience.,3000000.0,2020,9Unicorns,Sports & Fitness
LAVAL,Cosmetics,Pre Series A,Bangalore,"Laval Cosmetics, affordable makeup for all ages",3000000.0,2020,Jazal Group,Fashion & Beauty
Stride Ventures,Venture capitalist,Pre Series A,New Delhi,Stride Ventures is a venture capital firm in India which aims to invest in innovative startups across the country.,80000000.0,2020,Small Industries Development Bank of India,Others
BlackSoil,FinTech,Pre Series A,Mumbai,Blacksoil Advisory is an independent boutique advisory firm.,10000000.0,2020,Inflection Point Ventures,Finance
Biocon,Healthcare,Pre Series A,Bangalore,"Biocon is a healthcare and technology, company focused on biotechnology.",15000000.0,2020,Goldman Sachs,Others
Clientjoy,SaaS startup,Pre Series A,Gujarat,Client Management Software For Modern Agencies.,800000.0,2020,"LetsVenture, Jyotsna Bapat",Technology & IT
Xpressbees,E-commerce,Pre Series A,Pune,Xpressbees is an e-commerce logistics company that provides reliable logistics solutions to its partners.,100000000.0,2020,"Alibaba Group, InnoVen Capital",Others
GalaxyCard,FinTech,Seed,Gurugram,Mobile based Instant credit card. | Easiest way to get a credit card. Get one in 3 minutes,3000000.0,2020,India Accelerator,Finance
Wellness Forever,HealthTech,Seed,Mumbai,Wellness Forever is the one-stop destination for wellness,100000000.0,2020,"Poonawalla, Allana Group",Health & Medical
MoooFarm,AgriTech,Pre-Seed,Gurugram,MoooFarm is an information technology company that bridges the technology gap to help marginalized dairy farmers.,500000.0,2020,"Navus Ventures, Rockstart",Agriculture
BitClass,PaaS startup,Seed,Bangalore,BitClass is a PaaS solution which helps teachers set up their independent live classes,2000000.0,2020,"AET Japan, Figure Eight Investments, Waterbridge Ventures",Technology & IT
Gonuts,Entertainment,Seed,Mumbai,Personalised Video shoutouts from favourite celebrity.,400000.0,2020,"Sweta Rau, Archana Priyadarshini",Others
Uolo,EdTech,Seed,Bangalore,Uolo Technology is founded by paranoid parents who want to make a difference to preschool experience.,2000000.0,2020,"Rajul Garg, Purvi Capital",Education
Kirana King,Retail,Pre Series A,Jaipur,"A revolutionary idea of standardization, digitization & centralization to traditional Grocery system.",900000.0,2020,Rajasthan Venture Capital Fund,E-Commerce & Retail
Jade Forest,Beverages,Seed,Delhi,"NATURALLY THE BEST From zero artificial ingredients in our drinks to the way they make you feel, we bring you a bespoke range of natural mixers.",250000.0,2020,Inflection Point Ventures,Food & Beverage
iKure,HealthTech,Seed,Kolkata,iKure is a social enterprise that delivers primary healthcare and wellness & prevention services to communities in India,3000000.0,2020,"Ratan Tata, Inflection Point Ventures, Ankur Mittal",Health & Medical
FrontRow,EdTech,Seed,Bangalore,"Comprehensive courses, taught by idols.",3200000.0,2020,"Lightspeed, Elevation, Deepika Padukone",Education
Reliance Retail,E-commerce,Seed,Mumbai,Reliance Retail Ventures Limited is a subsidiary company of Reliance Industries Limited.,10000000.0,2020,"Abu Dhabi Investment Authority, GIC",Others
TUBBR,Social Media,Seed,Frisco,World's First Personal Social Network,3000000.0,2020,Global Ascent Partners,Technology & IT
Ather Energy,Automobiles,Series D,Bangalore,Ather Energy is a manufacturer of electric scooters.,35000000.0,2020,HeroMotoCorp Ltd and Sachin Bansal,Others
Routematic,SaaS startup,Series D,Bangalore,Vision is to enable a safer and more comfortable commute to work for employees of India Inc.,2000000.0,2020,"VAMM Ventures, Naresh Malhotra",Technology & IT
LivFin,FinTech,Series D,New Delhi,LivFin is a non-banking financial company registered with the Reserve Bank of India (RBI),4700000.0,2020,"DEG, KFW DEG",Finance
Universal Sportsbiz Pvt Ltd,Fashion startup,Series D,Bangalore,A fashion startup based in Bengaluru.,3000000.0,2020,"Accel, Alteria Capital",E-Commerce & Retail
Lattu Kids,EdTech,Series D,Mumbai,Lattu kids is an edutainment platform for preschool kids.,3000000.0,2020,Mumbai Angels Network,Education
Eggoz,Food & Bevarages,Pre Series A,Indore,"Eggoz is a brand of fresh and chemical-free eggs, produced in tech-enabled & nutrition-engineered deep integration partnership with farmers.",1500000.0,2020,"AVANA Capital, Rebright Partners",Others
Steradian Semiconductors,Deeptech,Pre Series A,Bangalore,Semiconductor company focused on CMOS millimeter wave products for Radar.,3000000.0,2020,Endiya Partners.,Others
CHARGE+ZONE,EV startup,Pre Series A,Gujarat,"Charge+Zone provides services in renewable energy solutions, product development, and software engineering company.",3000000.0,2020,Mumbai Angels,Others
Stones2milestones,EdTech,Bridge,Gurugram,Stones2milestones is India (Delhi) Based EdTech Company,2000000.0,2020,"Menterra Venture Advisors, Emandi Sankara Rao",Education
Udacity,EdTech,Debt,California,"Udacity develops an online learning platform offering programs in artificial intelligence, machine learning, and robotics sector.",75000000.0,2020,"Hercules Capital, Inc.Bertelsmann",Education
AjnaLens,AR/VR startup,Bridge,Thane,"AjnaLens develops AR/VR wearables primarily for the Defence, Education and enterprise customers.",1000000.0,2020,"Mohsin Hani Al Bahrani, MoD",Others
Gully Network,E-commerce,Pre Series A,Bangalore,Gully Network is a tech-enabled network of mid-sized grocery stores.,1200000.0,2020,"CP Ventures, Orios Venture Partners",Others
TurboHire,Recruitment startup,Seed,Hyderabad,Talent Intelligence Platform for enterprises that helps recruiters discover the right candidates for a job using a Human-like AI,1000000.0,2020,"Kia Ora Ventures, Pentathlon Ventures",Human Resources
Traya,HealthTech,Seed,Mumbai,work with our customers closely to get their hair health sorted for long-term effective results,3000000.0,2020,"Kae Capital, Whiteboard Capital",Health & Medical
Charcoal Eats,QSR startup,Seed,Mumbai,"In the last five years, have served over 1.5 million orders and enjoy high customer satisfaction.",2000000.0,2020,Lokmat Investments,Others
Mitron TV,Video platform,Seed,Bangalore,Mitron is a free short videoplatform for next generation,3000000.0,2020,9Unicorns,Others
Svami,Food & Bevarages,Seed,Mumbai,Svami is the result of three seasoned drinkers extending their love for libations to the larger world of drinks.,800000.0,2020,"Niren Shah, Rukam Capital Trust",Others
Dhurnia,EdTech,Seed,Dhingsara,Developer of an online learning platform intended for various competitive exam preparations.,100000.0,2020,"Chandigarh Angels Network, Modulor Capital",Education
Expertrons,EdTech,Seed,Mumbai,Expertrons is an AI video bot platform created to help students and professionals prepare for interviews.,3000000.0,2020,"Rohit Chanana, Sukanta Ganguly",Education
Leena AI,AI startup,Seed,New York,Leena AI offers a human resource management platform that transforms employee experience with conversational AI.,8000000.0,2020,"Alan Patricof, Jim Moffatt",Technology & IT
Bizlog,Logistics,Seed,Bangalore,Bizlog Value Chain enables re-commerce and circular economy through unique REVERSE LOGISTICS engine.,1000000.0,2020,IAN Fund,Transport
Tamasha.live,Gaming,Seed,Mumbai,"Tamasha offers a platform for influencers to host live, video based, real money contests and games.",300000.0,2020,"9Unicorns, Titan Capital, FirstCheque",Sports & Fitness
Fedo,AI startup,Seed,Bangalore,Artificial Intelligence based Credit Score for Health,1000000.0,2020,AIM Smart City,Technology & IT
FabHotels,Hospitality,Seed,Gurugram,Fabhotels is the online aggregator for hotel rooms. It aims to provide standardized services at economical budgets.,1000000.0,2020,"RB Investments Pte. Ltd, Goldman Sachs",Health & Medical
Freshokartz,AgriTech,Pre Series A,Jaipur,"Freshokartz provides soil data based crop and fertilisers recommendation to farmers and delivery seeds, pesticides",1000000.0,2020,"Rajasthan Venture Capital Fund, Innovana Thinklabs",Agriculture
FlexiLoans,FinTech,Debt,Mumbai,"an online lending platform started with an endeavour to solve the problem that SMEs face in accessing Quick, Flexible and Adequate funds for growing their Businesses.",6000000.0,2020,>Vikram Sud,Finance
Agrix,AgriTech,Debt,Patna,"Farming-as-a-service (covering farm machinery and agri input services) and provides market linkages, especially for fragmented farm owners.",3000000.0,2020,Maple Capital Advisors,Agriculture
BharatAgri,AgriTech,Pre Series A,Pune,A Smart Farming Technology Platform for Indian Farmers,3000000.0,2020,"021 Capital, India Quotient",Agriculture
FreshtoHome,E-commerce,Series C,Bangalore,Freshtohome is an e-commerce platform for fresh and chemical-free seafood.,121000000.0,2020,"Ascent Capital, Iron Pillar",Others
Credable,FinTech,Series C,Mumbai,CredAble provides working capital & supply chain finance programs for large enterprises and their suppliers and distributors.,4500000.0,2020,Oaks Asset Management,Finance
Railofy,Transportation,Seed,Mumbai,Railofy is a WL & RAC protection that enables waitlisted passengers to reach their destination at the lowest possible price.,5000000.0,2020,"Roots Ventures, Better Capital",Transport
Finova Capital,FinTech,Seed,Jaipur,Finova Capital is a non-banking financial company.,55000000.0,2020,"Sequoia Capital India, Faering Capital",Finance
Teachmint,EdTech,Seed,Bangalore,Teachmint is an easy to use platform for tutors to conduct unlimited live classes and manage their classrooms,3500000.0,2020,Lightspeed India,Education
Peel-Works,E-commerce,Seed,Mumbai,Peel-Works is a tech and data analytics company specializing in e-commerce for corner stores.,3000000.0,2020,"CESC Ventures, Brun Raschle",Others
Janani,Fertility tech,Pre-Seed,Bangalore,Janani aims to make the process of infertility treatment and assisted fertilisation easier,200000.0,2020,9Unicorns,Others
Credgenics,FinTech,Seed,Gurugram,"Credgenics is a tech-enabled platform backed by Titan Capital, helping fintech lenders and Banks in their critical NPA reduction",3300000.0,2020,"Accel, Sunder Nookala",Finance
Finelistings,Luxury car startup,Seed,New Delhi,A Used Luxury Car Marketplace,3000000.0,2020,Justdial,Others
Wellversed,Healthcare,Pre Series A,New Delhi,Wellversed Health enables production of customised clinical food products specific to health requirements of a demography or an individual.,3000000.0,2020,"KLUB Works, Shankar Narayanan",Others
Jumbotail,E-commerce,Series B,Bangalore,"Jumbotail is solving an important problem of organising food and grocery ecosystem in India through technology, data science and design.",11000000.0,2020,Nexus Venture Partners and 23 High Networth Individuals (HNIs),Others
Winzo,Gaming startup,Series B,New Delhi,WinZO is a mobile e-sports social gaming platform that offers monetary benefits and prizes to players.,2000000.0,2020,"Makers Fund, Courtside Ventures",Sports & Fitness
mCaffeine,Cosmetics,Series B,Mumbai,"MCaffeine is a personal care brand that offers caffein-infused face, body, and hair care products.",5000000.0,2020,"RPSG Ventures, Amicus Capital",Fashion & Beauty
